Top Ten Entry Date,Single Name,Artist(s),Peak,Peak Date,Weeks in Top Ten,Ref,Year
1959-07-27,There Goes My Baby,The Drifters,2,1959-08-17,6,,1959
1959-07-27,Forty Miles of Bad Road,Duane Eddy,9,1959-07-27,3,,1959
1959-08-03,Lavender Blue,Sammy Turner,3,1959-08-24,6,,1959
1959-08-03,Sweeter Than You,Ricky Nelson,9,1959-08-03,1,,1959
1959-08-10,What a Diff'rence a Day Makes,Dinah Washington,8,1959-08-10,3,,1959
1959-08-10,What'd I Say,Ray Charles,6,1959-08-17,5,,1959
1959-08-17,The Three Bells,The Browns,1,1959-08-24,10,,1959
1959-08-17,Just a Little Too Much,Ricky Nelson,9,1959-08-17,1,,1959
1959-08-24,Sea of Love,Phil Phillips,2,1959-08-24,6,,1959
1959-08-24,Sleep Walk,Santo & Johnny,1,1959-09-21,9,,1959
1959-08-24,I Want to Walk You Home,Fats Domino,8,1959-09-14,5,,1959
1959-08-31,I'm Gonna Get Married,Lloyd Price,3,1959-09-14,6,,1959
1959-08-31,Red River Rock,Johnny and the Hurricanes,5,1959-09-07,6,,1959
1959-09-07,(Till) I Kissed You,The Everly Brothers,4,1959-09-21,7,,1959
1959-09-07,Broken Hearted Melody,Sarah Vaughan,7,1959-09-07,4,,1959
1959-09-14,Mack the Knife,Bobby Darin,1,1959-10-05,16,,1959
1959-09-14,Baby Talk,Jan and Dean,10,1959-09-14,1,,1959
1959-09-21,Put Your Head on My Shoulder,Paul Anka,2,1959-10-05,11,,1959
1959-09-28,Teen Beat,Sandy Nelson,4,1959-10-19,8,,1959
1959-10-05,Mr. Blue,The Fleetwoods,1,1959-11-16,11,,1959
1959-10-05,Poison Ivy,The Coasters,7,1959-10-12,5,,1959
1959-10-12,Just Ask Your Heart,Frankie Avalon,7,1959-10-26,4,,1959
1959-10-12,Lonely Street,Andy Williams,5,1959-11-09,6,,1959
1959-10-26,Don't You Know?,Della Reese,2,1959-11-30,8,,1959
1959-10-26,Primrose Lane,Jerry Wallace,8,1959-10-26,5,,1959
1959-10-26,Deck of Cards,Wink Martindale,7,1959-11-02,5,,1959
1959-11-09,Seven Little Girls Sitting in the Backseat,Paul Evans,9,1959-11-09,2,,1959
1959-11-09,Heartaches by the Number,Guy Mitchell,1,1959-12-14,10,,1959
1959-11-16,So Many Ways,Brook Benton,6,1959-11-23,5,,1959
1959-11-23,In the Mood,Ernie Fields,4,1959-12-14,4,,1959
1959-11-23,We Got Love,Bobby Rydell,6,1959-12-07,5,,1959
1959-11-30,Be My Guest,Fats Domino,8,1959-12-07,2,,1959
1959-12-07,Oh! Carol,Neil Sedaka,9,1959-12-07,1,,1959
1959-12-07,Danny Boy,Conway Twitty,10,1959-12-07,1,,1959
1959-12-14,Why,Frankie Avalon,1,1959-12-28,9,,1959
1959-12-14,It's Time to Cry,Paul Anka,4,1959-12-28,5,,1959
1959-12-14,The Big Hurt,Miss Toni Fisher,3,1959-12-28,8,,1959
1959-12-21,Among My Souvenirs,Connie Francis,7,1959-12-28,5,,1959
1959-12-21,Hound Dog Man,Fabian,9,1959-12-28,2,,1959
1959-12-21,El Paso,Marty Robbins,1,1960-01-04,9,,1959
1959-12-21,Way Down Yonder in New Orleans,Freddy Cannon,3,1960-01-11,7,,1959
1959-12-28,Pretty Blue Eyes,Steve Lawrence,9,1960-01-04,6,,1959
1960-01-04,Running Bear,Johnny Preston,1,1960-01-18,10,,1960
1960-01-04,"Go, Jimmy, Go",Jimmy Clanton,5,1960-02-01,5,,1960
1960-01-18,The Village of St. Bernadette,Andy Williams,7,1960-01-25,2,,1960
1960-01-18,Teen Angel,Mark Dinning,1,1960-02-08,10,,1960
1960-01-25,Where or When,Dion and the Belmonts,3,1960-02-08,5,,1960
1960-02-01,Handy Man,Jimmy Jones,2,1960-02-29,9,,1960
1960-02-08,Lonely Blue Boy,Conway Twitty,6,1960-02-08,3,,1960
1960-02-08,What in the World's Come Over You,Jack Scott,5,1960-02-22,7,,1960
1960-02-08,He'll Have to Go,Jim Reeves,2,1960-03-07,12,,1960
1960-02-08,You Got What It Takes,Marv Johnson,10,1960-02-08,1,,1960
1960-02-15,Theme from A Summer Place,Percy Faith,1,1960-02-22,12,,1960
1960-02-15,Let It Be Me,The Everly Brothers,7,1960-02-22,4,,1960
1960-02-22,Beyond the Sea,Bobby Darin,6,1960-02-29,4,,1960
1960-02-29,Wild One,Bobby Rydell,2,1960-03-28,8,,1960
1960-02-29,Baby (You've Got What It Takes),Dinah Washington and Brook Benton,5,1960-03-21,6,,1960
1960-03-14,Harbor Lights,The Platters,8,1960-03-28,4,,1960
1960-03-14,Puppy Love,Paul Anka,2,1960-04-04,7,,1960
1960-03-21,Sweet Nothin's,Brenda Lee,4,1960-04-18,7,,1960
1960-03-28,"O, Dio Mio",Annette,10,1960-03-28,1,,1960
1960-03-28,Forever,The Little Dippers,9,1960-03-28,1,,1960
1960-04-04,Sink the Bismarck,Johnny Horton,3,1960-04-25,7,,1960
1960-04-04,Footsteps,Steve Lawrence,7,1960-04-04,2,,1960
1960-04-04,Mama,Connie Francis,8,1960-04-11,3,,1960
1960-04-11,Greenfields,The Brothers Four,2,1960-04-18,9,,1960
1960-04-11,I Love the Way You Love,Marv Johnson,9,1960-04-11,1,,1960
1960-04-18,Stuck on You,Elvis Presley,1,1960-04-25,10,,1960
1960-04-18,Sixteen Reasons,Connie Stevens,3,1960-05-02,7,,1960
1960-04-25,The Old Lamplighter,The Browns,5,1960-05-02,3,,1960
1960-04-25,White Silver Sands,Bill Black's Combo,9,1960-04-25,1,,1960
1960-05-02,Night,Jackie Wilson,4,1960-05-09,6,,1960
