Top Ten Entry Date,Single Name,Artist(s),Peak,Peak Date,Weeks in Top Ten,Ref,Year
2025-03-01,Nokia,Drake,2,2025-04-19,13,[7][14],2025
2025-03-29,Evil J0rdan,Playboi Carti,2,2025-03-29,1,[15],2025
2025-03-29,Rather Lie,Playboi Carti and The Weeknd,4,2025-03-29,1,[15],2025
2025-03-29,The Giver,Chappell Roan,5,2025-03-29,1,[15],2025
2025-03-29,Anxiety,Doechii,9,2025-05-17,4,[15][16],2025
2025-04-05,Just in Case,Morgan Wallen,2,2025-05-31,16,[17][18],2025
2025-04-19,All the Way,BigXthaPlug featuring Bailey Zimmerman,4,2025-04-19,2,[14],2025
2025-04-19,Ordinary,Alex Warren,1,2025-06-07,0,[14][19],2025
2025-05-03,I Ain't Comin' Back,Morgan Wallen and Post Malone,8,2025-05-03,1,[20],2025
2025-05-31,What I Want,Morgan Wallen featuring Tate McRae,1,2025-05-31,0,[18],2025
2025-05-31,I Got Better,Morgan Wallen,7,2025-05-31,1,[18],2025
2025-05-31,Superman,Morgan Wallen,8,2025-05-31,1,[18],2025
2025-06-21,Manchild,Sabrina Carpenter,1,2025-06-21,0,[21],2025
2025-07-05,Outside,Cardi B,10,2025-07-05,1,[22],2025
2025-07-19,What Did I Miss?,Drake,2,2025-07-19,2,[23],2025
2025-07-19,Golden,"Huntr/x: Ejae, Audrey Nuna and Rei Ami",1,2025-08-16,0,[23][24],2025
2025-07-26,Daisies,Justin Bieber,2,2025-07-26,6,[25],2025
2025-07-26,Love Me Not,Ravyn Lenae,5,2025-08-23,0,[25][26],2025
2025-08-09,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo and Samuil Lee",4,2025-08-23,0,[27][26],2025
2025-08-16,The Subway,Chappell Roan,3,2025-08-16,1,[24],2025
2025-08-23,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo and Samuil Lee",5,2025-08-30,0,[26][28],2025
2025-08-30,How It's Done,"Huntr/x: Ejae, Audrey Nuna and Rei Ami",9,2025-09-06,0,[28][29],2025
2025-09-13,Tears,Sabrina Carpenter,3,2025-09-13,0,[30],2025
1958-08-04,Poor Little Fool,Ricky Nelson,1,1958-08-04,6,,1958
1958-08-04,Patricia,Pérez Prado,2,1958-08-04,6,,1958
1958-08-04,Splish Splash,Bobby Darin,3,1958-08-04,3,,1958
1958-08-04,Hard Headed Woman,Elvis Presley,4,1958-08-04,2,,1958
1958-08-04,When,Kalin Twins,5,1958-08-04,5,,1958
1958-08-04,Rebel 'Rouser,Duane Eddy,6,1958-08-04,3,,1958
1958-08-04,Yakety Yak,The Coasters,7,1958-08-04,1,,1958
1958-08-04,My True Love,Jack Scott,3,1958-08-18,6,,1958
1958-08-04,Willie and the Hand Jive,The Johnny Otis Show,9,1958-08-04,2,,1958
1958-08-04,Fever,Peggy Lee,8,1958-08-25,3,,1958
1958-08-11,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,1958-08-18,10,,1958
1958-08-11,Just a Dream,Jimmy Clanton,4,1958-08-25,8,,1958
1958-08-18,Little Star,The Elegants,1,1958-08-25,9,,1958
