Top Ten Entry Date,Single Name,Artist(s),Peak,Peak Date,Weeks in Top Ten,Ref,Year
1969-10-25,I'm Gonna Make You Mine,Lou Christie,10,1969-10-25,1,,1969
1969-11-01,Come Together,The Beatles,1,1969-11-29,9,,1969
1969-11-08,And When I Die,"Blood, Sweat & Tears",2,1969-11-29,7,,1969
1969-11-08,Something,The Beatles,3,1969-11-15,3,,1969
1969-11-08,Smile a Little Smile for Me,The Flying Machine,5,1969-11-22,4,,1969
1969-11-15,Take a Letter Maria,R. B. Greaves,2,1969-11-22,7,,1969
1969-11-22,Na Na Hey Hey Kiss Him Goodbye,Steam,1,1969-12-06,8,,1969
1969-11-22,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,7,1969-12-13,5,,1969
1969-11-29,Leaving on a Jet Plane,"Peter, Paul and Mary",1,1969-12-20,10,,1969
1969-11-29,Down on the Corner,Creedence Clearwater Revival,3,1969-12-20,8,,1969
1969-11-29,Eli's Comin',Three Dog Night,10,1969-11-29,2,,1969
1969-12-06,Someday We'll Be Together,Diana Ross & the Supremes,1,1969-12-27,9,,1969
1969-12-13,Backfield in Motion,Mel and Tim,10,1969-12-13,1,,1969
1969-12-20,Holly Holy,Neil Diamond,6,1969-12-27,3,,1969
1972-12-23,You're So Vain,Carly Simon,1,1973-01-06,11,,1972
1972-12-23,Funny Face,Donna Fargo,5,1973-01-06,4,,1972
1972-12-23,Rockin' Pneumonia and the Boogie Woogie Flu,Johnny Rivers,6,1973-01-20,6,,1972
1972-12-30,Your Mama Don't Dance,Loggins and Messina,4,1973-01-27,6,,1972
1972-12-30,Superfly,Curtis Mayfield,8,1973-01-13,4,,1972
1973-01-06,Superstition,Stevie Wonder,1,1973-01-27,6,,1973
1973-01-13,Crocodile Rock,Elton John,1,1973-02-03,9,,1973
1973-01-13,Keeper of the Castle,Four Tops,10,1973-01-13,1,,1973
1973-01-20,Why Can't We Live Together,Timmy Thomas,3,1973-02-10,5,,1973
1973-01-20,"Oh, Babe, What Would You Say?",Hurricane Smith,3,1973-02-17,5,,1973
1973-01-27,Trouble Man,Marvin Gaye,7,1973-02-03,3,,1973
1973-01-27,The World Is a Ghetto,War,7,1973-02-10,3,,1973
1973-02-03,Do It Again,Steely Dan,6,1973-02-10,4,,1973
1973-02-03,"Hi, Hi, Hi",Paul McCartney and Wings,10,1973-02-03,1,,1973
1973-02-10,Could It Be I'm Falling in Love,The Spinners,4,1973-03-03,6,,1973
1973-02-10,Don't Expect Me to Be Your Friend,Lobo,8,1973-02-17,4,,1973
1973-02-17,Killing Me Softly with His Song,Roberta Flack,1,1973-02-24,9,,1973
1973-02-17,Dueling Banjos,Eric Weissberg and Steve Mandell,2,1973-02-24,6,,1973
1973-02-17,Rocky Mountain High,John Denver,9,1973-03-03,4,,1973
1973-02-24,Love Train,The O'Jays,1,1973-03-24,6,,1973
1973-02-24,Last Song,Edward Bear,3,1973-03-03,6,,1973
1973-03-03,Also Sprach Zarathustra (2001),Deodato,2,1973-03-31,6,,1973
1973-03-10,The Cover of Rolling Stone,Dr. Hook & the Medicine Show,6,1973-03-17,3,,1973
1973-03-10,Daddy's Home,Jermaine Jackson,9,1973-03-17,2,,1973
1973-03-17,Neither One of Us (Wants to Be the First to Say Goodbye),Gladys Knight & the Pips,2,1973-04-07,6,,1973
1973-03-17,Danny's Song,Anne Murray,7,1973-04-14,6,,1973
1973-03-24,Ain't No Woman (Like the One I've Got),Four Tops,4,1973-04-07,6,,1973
1973-03-24,Break Up to Make Up,The Stylistics,5,1973-04-07,4,,1973
1973-03-31,The Night the Lights Went Out in Georgia,Vicki Lawrence,1,1973-04-07,7,,1973
1973-03-31,Sing,The Carpenters,3,1973-04-21,6,,1973
1973-04-07,Tie a Yellow Ribbon Round the Ole Oak Tree,Dawn featuring Tony Orlando,1,1973-04-21,11,,1973
1973-04-07,The Cisco Kid,War,2,1973-04-28,6,,1973
1973-04-14,Call Me (Come Back Home),Al Green,10,1973-04-14,1,,1973
1973-04-21,Little Willy,The Sweet,3,1973-05-05,7,,1973
1973-04-21,Masterpiece,The Temptations,7,1973-04-28,2,,1973
1973-04-21,The Twelfth of Never,Donny Osmond,8,1973-04-28,4,,1973
1973-04-28,You Are the Sunshine of My Life,Stevie Wonder,1,1973-05-19,7,,1973
1973-04-28,Stuck in the Middle with You,Stealers Wheel,6,1973-05-12,4,,1973
1973-05-05,Frankenstein,The Edgar Winter Group,1,1973-05-26,7,,1973
1973-05-05,Drift Away,Dobie Gray,5,1973-05-12,4,,1973
1973-05-12,Daniel,Elton John,2,1973-06-02,7,,1973
1973-05-19,My Love,Paul McCartney and Wings,1,1973-06-02,9,,1973
1973-05-19,Pillow Talk,Sylvia,3,1973-06-09,7,,1973
1973-05-19,Wildflower,Skylark,9,1973-05-26,2,,1973
1973-05-26,Hocus Pocus,Focus,9,1973-06-02,3,,1973
1973-06-02,Playground in My Mind,Clint Holmes,2,1973-06-16,8,,1973
1973-06-02,I'm Gonna Love You Just a Little More Baby,Barry White,3,1973-06-23,6,,1973
1973-06-09,Long Train Runnin',The Doobie Brothers,8,1973-06-30,3,,1973
1973-06-16,Give Me Love (Give Me Peace on Earth),George Harrison,1,1973-06-30,7,,1973
1973-06-16,Will It Go Round in Circles,Billy Preston,1,1973-07-07,8,,1973
1973-06-16,Kodachrome,Paul Simon,2,1973-07-07,7,,1973
1973-06-23,"Right Place, Wrong Time",Dr. John,9,1973-06-30,4,,1973
1973-06-30,Shambala,Three Dog Night,3,1973-07-28,6,,1973
1973-07-07,"Bad, Bad Leroy Brown",Jim Croce,1,1973-07-21,8,,1973
1973-07-07,Yesterday Once More,The Carpenters,2,1973-07-28,6,,1973
1973-07-14,Smoke on the Water,Deep Purple,4,1973-07-28,5,,1973
1973-07-21,Boogie Woogie Bugle Boy,Bette Midler,8,1973-07-21,2,,1973
1973-07-21,Natural High,Bloodstone,10,1973-07-21,1,,1973
1973-07-28,The Morning After,Maureen McGovern,1,1973-08-04,6,,1973
1973-07-28,Diamond Girl,Seals and Crofts,6,1973-07-28,2,,1973
1973-08-04,Touch Me in the Morning,Diana Ross,1,1973-08-18,8,,1973
1973-08-04,Brother Louie,Stories,1,1973-08-25,8,,1973
1973-08-04,Live and Let Die,Paul McCartney and Wings,2,1973-08-11,7,,1973
1973-08-11,Let's Get It On,Marvin Gaye,1,1973-09-08,13,,1973
1973-08-11,Uneasy Rider,Charlie Daniels,9,1973-08-11,3,,1973
1973-08-11,Monster Mash,Bobby (Boris) Pickett and the Crypt-Kickers,10,1973-08-11,1,,1973
1973-08-18,Delta Dawn,Helen Reddy,1,1973-09-15,8,,1973
1973-08-18,Get Down,Gilbert O'Sullivan,7,1973-08-18,3,,1973
1973-08-18,Feelin' Stronger Every Day,Chicago,10,1973-08-18,2,,1973
1973-08-25,"Say, Has Anybody Seen My Sweet Gypsy Rose",Dawn featuring Tony Orlando,3,1973-09-15,6,,1973
1973-09-01,Loves Me Like a Rock,Paul Simon,2,1973-10-06,7,,1973
1973-09-08,We're an American Band,Grand Funk Railroad,1,1973-09-29,6,,1973
1973-09-08,Gypsy Man,War,8,1973-09-15,2,,1973
1973-09-08,Here I Am (Come and Take Me),Al Green,10,1973-09-08,2,,1973
1973-09-22,Half-Breed,Cher,1,1973-10-06,8,,1973
1973-09-22,Higher Ground,Stevie Wonder,4,1973-10-13,6,,1973
1973-09-22,That Lady,The Isley Brothers,6,1973-10-06,6,,1973
1973-09-29,Ramblin' Man,The Allman Brothers Band,2,1973-10-13,6,,1973
1973-09-29,My Maria,B. W. Stevenson,9,1973-09-29,1,,1973
1973-10-06,Angie,The Rolling Stones,1,1973-10-20,7,,1973
1973-10-06,Keep On Truckin',Eddie Kendricks,1,1973-11-10,10,,1973
1973-10-13,Midnight Train to Georgia,Gladys Knight & the Pips,1,1973-10-27,8,,1973
1973-10-20,Heartbeat - It's a Lovebeat,The DeFranco Family,3,1973-11-17,7,,1973
1973-10-20,Paper Roses,Marie Osmond,5,1973-11-03,6,,1973
1973-11-03,Space Race,Billy Preston,4,1973-11-24,6,,1973
1973-11-03,All I Know,Art Garfunkel,9,1973-11-10,2,,1973
1973-11-10,Photograph,Ringo Starr,1,1973-11-24,6,,1973
1973-11-10,Top of the World,The Carpenters,1,1973-12-01,8,,1973
1973-11-17,Just You 'n' Me,Chicago,4,1973-12-08,6,,1973
1973-11-17,I Got a Name,Jim Croce,10,1973-11-17,1,,1973
1973-11-24,Goodbye Yellow Brick Road,Elton John,2,1973-12-08,7,,1973
1973-11-24,The Love I Lost,Harold Melvin & the Blue Notes,7,1973-12-08,3,,1973
1973-12-01,The Most Beautiful Girl,Charlie Rich,1,1973-12-15,6,,1973
1973-12-08,Leave Me Alone (Ruby Red Dress),Helen Reddy,3,1973-12-29,5,,1973
1973-12-08,Hello It's Me,Todd Rundgren,5,1973-12-22,4,,1973
1973-12-15,Time in a Bottle,Jim Croce,1,1973-12-29,7,,1973
1973-12-15,If You're Ready (Come Go with Me),The Staple Singers,9,1973-12-22,2,,1973
2002-12-07,Air Force Ones,"Nelly featuring Kyjuan, Ali and Murphy Lee",3,2003-01-04,10,,2002
2002-12-21,Beautiful,Christina Aguilera,2,2003-02-01,12,,2002
2002-12-28,"Bump, Bump, Bump",B2K featuring P. Diddy,1,2003-02-01,11,,2002
2003-01-04,Love of My Life (An Ode to Hip-Hop),Erykah Badu featuring Common,9,2003-01-04,1,,2003
2003-01-11,Landslide,Dixie Chicks,7,2003-03-08,10,,2003
2003-01-25,All I Have,Jennifer Lopez featuring LL Cool J,1,2003-02-08,12,,2003
2003-01-25,Cry Me a River,Justin Timberlake,3,2003-02-01,9,,2003
2003-01-25,I'm With You,Avril Lavigne,4,2003-02-01,10,,2003
2003-02-01,Mesmerize,Ja Rule featuring Ashanti,2,2003-02-15,10,,2003
2003-02-01,Miss You,Aaliyah,3,2003-04-05,13,,2003
2003-02-15,In da Club,50 Cent,1,2003-03-08,17,,2003
